sample_ID;Name;WELL;Volume;Dilution;BACTERIA;NA
hmlgs+runeg.male.1_A1;hmlgs+runeg.male.1;A1;5.0;1.0;;
hmlgs+runeg.male.1_A2;hmlgs+runeg.male.1;A2;5.0;1.0;;
hmlgs+runeg.male.1_A3;hmlgs+runeg.male.1;A3;5.0;1.0;;
hmlgs+runeg.male.1_A4;hmlgs+runeg.male.1;A4;5.0;1.0;;
hmlgs+runeg.male.1_A5;hmlgs+runeg.male.1;A5;5.0;1.0;;
hmlgs+runeg.male.1_A6;hmlgs+runeg.male.1;A6;5.0;1.0;;
hmlgs+runeg.male.1_A7;hmlgs+runeg.male.1;A7;5.0;1.0;;
hmlgs+runeg.male.1_A8;hmlgs+runeg.male.1;A8;5.0;1.0;;
hmlgs+runeg.male.1_A9;hmlgs+runeg.male.1;A9;5.0;1.0;;
hmlgs+runeg.male.1_A10;hmlgs+runeg.male.1;A10;5.0;1.0;;
hmlgs+runeg.male.1_A11;hmlgs+runeg.male.1;A11;5.0;1.0;;
hmlgs+runeg.male.1_A12;hmlgs+runeg.male.1;A12;5.0;1.0;;
hmlgs+runeg.male.1_B1;hmlgs+runeg.male.1;B1;5.0;10.0;;
hmlgs+runeg.male.1_B2;hmlgs+runeg.male.1;B2;5.0;10.0;;
hmlgs+runeg.male.1_B3;hmlgs+runeg.male.1;B3;5.0;10.0;;
hmlgs+runeg.male.1_B4;hmlgs+runeg.male.1;B4;5.0;10.0;;
hmlgs+runeg.male.1_B5;hmlgs+runeg.male.1;B5;5.0;10.0;;
hmlgs+runeg.male.1_B6;hmlgs+runeg.male.1;B6;5.0;10.0;;
hmlgs+runeg.male.1_B7;hmlgs+runeg.male.1;B7;5.0;10.0;;
hmlgs+runeg.male.1_B8;hmlgs+runeg.male.1;B8;5.0;10.0;;
hmlgs+runeg.male.1_B9;hmlgs+runeg.male.1;B9;5.0;10.0;;
hmlgs+runeg.male.1_B10;hmlgs+runeg.male.1;B10;5.0;10.0;;
