sample_ID;Name;WELL;Volume;Dilution;BACTERIA;NA
rupos.male.1.1_A1;rupos.male.1.1;A1;5.0;1.0;;
rupos.male.1.1_A2;rupos.male.1.1;A2;5.0;1.0;;
rupos.male.1.1_A3;rupos.male.1.1;A3;5.0;1.0;;
rupos.male.1.1_A4;rupos.male.1.1;A4;5.0;1.0;;
rupos.male.1.1_A5;rupos.male.1.1;A5;5.0;1.0;;
rupos.male.1.1_A6;rupos.male.1.1;A6;5.0;1.0;;
rupos.male.1.1_A7;rupos.male.1.1;A7;5.0;1.0;;
rupos.male.1.1_A8;rupos.male.1.1;A8;5.0;1.0;;
rupos.male.1.1_A9;rupos.male.1.1;A9;5.0;1.0;;
rupos.male.1.1_A10;rupos.male.1.1;A10;5.0;1.0;;
rupos.male.1.1_A11;rupos.male.1.1;A11;5.0;1.0;;
rupos.male.1.1_A12;rupos.male.1.1;A12;5.0;1.0;;
rupos.male.1.1_B1;rupos.male.1.1;B1;5.0;10.0;;
rupos.male.1.1_B2;rupos.male.1.1;B2;5.0;10.0;;
rupos.male.1.1_B3;rupos.male.1.1;B3;5.0;10.0;;
rupos.male.1.1_B4;rupos.male.1.1;B4;5.0;10.0;;
rupos.male.1.1_B5;rupos.male.1.1;B5;5.0;10.0;;
rupos.male.1.1_B6;rupos.male.1.1;B6;5.0;10.0;;
rupos.male.1.1_B7;rupos.male.1.1;B7;5.0;10.0;;
rupos.male.1.1_B8;rupos.male.1.1;B8;5.0;10.0;;
rupos.male.1.1_B9;rupos.male.1.1;B9;5.0;10.0;;
rupos.male.1.1_B10;rupos.male.1.1;B10;5.0;10.0;;
rupos.male.1.1_B11;rupos.male.1.1;B11;5.0;10.0;;
rupos.male.1.1_B12;rupos.male.1.1;B12;5.0;10.0;;
rupos.male.1.1_C1;rupos.male.1.1;C1;5.0;100.0;;
rupos.male.1.1_C2;rupos.male.1.1;C2;5.0;100.0;;
rupos.male.1.1_C3;rupos.male.1.1;C3;5.0;100.0;;
rupos.male.1.1_C4;rupos.male.1.1;C4;5.0;100.0;;
rupos.male.1.1_C5;rupos.male.1.1;C5;5.0;100.0;;
rupos.male.1.1_C6;rupos.male.1.1;C6;5.0;100.0;;
rupos.male.1.1_C7;rupos.male.1.1;C7;5.0;100.0;;
rupos.male.1.1_C8;rupos.male.1.1;C8;5.0;100.0;;
rupos.male.1.1_C9;rupos.male.1.1;C9;5.0;100.0;;
rupos.male.1.1_C10;rupos.male.1.1;C10;5.0;100.0;;
rupos.male.1.1_C11;rupos.male.1.1;C11;5.0;100.0;;
rupos.male.1.1_C12;rupos.male.1.1;C12;5.0;100.0;58;0
rupos.male.1.1_D1;rupos.male.1.1;D1;5.0;1000.0;;
rupos.male.1.1_D2;rupos.male.1.1;D2;5.0;1000.0;;
rupos.male.1.1_D3;rupos.male.1.1;D3;5.0;1000.0;;
rupos.male.1.1_D4;rupos.male.1.1;D4;5.0;1000.0;;
rupos.male.1.1_D5;rupos.male.1.1;D5;5.0;1000.0;;
rupos.male.1.1_D6;rupos.male.1.1;D6;5.0;1000.0;;
rupos.male.1.1_D7;rupos.male.1.1;D7;5.0;1000.0;;
rupos.male.1.1_D8;rupos.male.1.1;D8;5.0;1000.0;;
rupos.male.1.1_D9;rupos.male.1.1;D9;5.0;1000.0;;
rupos.male.1.1_D10;rupos.male.1.1;D10;5.0;1000.0;;
rupos.male.1.1_D11;rupos.male.1.1;D11;5.0;1000.0;;
rupos.male.1.1_D12;rupos.male.1.1;D12;5.0;1000.0;9;0
rupos.male.1.1_E1;rupos.male.1.1;E1;5.0;10000.0;;
rupos.male.1.1_E2;rupos.male.1.1;E2;5.0;10000.0;;
rupos.male.1.1_E3;rupos.male.1.1;E3;5.0;10000.0;;
rupos.male.1.1_E4;rupos.male.1.1;E4;5.0;10000.0;55;0
rupos.male.1.1_E5;rupos.male.1.1;E5;5.0;10000.0;;
rupos.male.1.1_E6;rupos.male.1.1;E6;5.0;10000.0;43;0
rupos.male.1.1_E7;rupos.male.1.1;E7;5.0;10000.0;;
rupos.male.1.1_E8;rupos.male.1.1;E8;5.0;10000.0;;
rupos.male.1.1_E9;rupos.male.1.1;E9;5.0;10000.0;;
rupos.male.1.1_E10;rupos.male.1.1;E10;5.0;10000.0;;
rupos.male.1.1_E11;rupos.male.1.1;E11;5.0;10000.0;;
rupos.male.1.1_E12;rupos.male.1.1;E12;5.0;10000.0;2;0
rupos.male.1.1_F1;rupos.male.1.1;F1;5.0;100000.0;;
rupos.male.1.1_F2;rupos.male.1.1;F2;5.0;100000.0;25;0
rupos.male.1.1_F3;rupos.male.1.1;F3;5.0;100000.0;9;0
rupos.male.1.1_F4;rupos.male.1.1;F4;5.0;100000.0;8;0
rupos.male.1.1_F5;rupos.male.1.1;F5;5.0;100000.0;40;0
rupos.male.1.1_F6;rupos.male.1.1;F6;5.0;100000.0;9;0
rupos.male.1.1_F7;rupos.male.1.1;F7;5.0;100000.0;18;0
rupos.male.1.1_F8;rupos.male.1.1;F8;5.0;100000.0;41;0
rupos.male.1.1_F9;rupos.male.1.1;F9;5.0;100000.0;29;0
rupos.male.1.1_F10;rupos.male.1.1;F10;5.0;100000.0;15;0
rupos.male.1.1_F11;rupos.male.1.1;F11;5.0;100000.0;16;0
rupos.male.1.1_F12;rupos.male.1.1;F12;5.0;100000.0;0;0
rupos.male.1.1_G1;rupos.male.1.1;G1;5.0;1000000.0;;
rupos.male.1.1_G2;rupos.male.1.1;G2;5.0;1000000.0;7;0
rupos.male.1.1_G3;rupos.male.1.1;G3;5.0;1000000.0;8;0
rupos.male.1.1_G4;rupos.male.1.1;G4;5.0;1000000.0;2;0
rupos.male.1.1_G5;rupos.male.1.1;G5;5.0;1000000.0;22;0
rupos.male.1.1_G6;rupos.male.1.1;G6;5.0;1000000.0;8;0
rupos.male.1.1_G7;rupos.male.1.1;G7;5.0;1000000.0;14;0
rupos.male.1.1_G8;rupos.male.1.1;G8;5.0;1000000.0;19;0
rupos.male.1.1_G9;rupos.male.1.1;G9;5.0;1000000.0;24;0
rupos.male.1.1_G10;rupos.male.1.1;G10;5.0;1000000.0;17;0
rupos.male.1.1_G11;rupos.male.1.1;G11;5.0;1000000.0;11;0
rupos.male.1.1_G12;rupos.male.1.1;G12;5.0;1000000.0;0;0
rupos.male.1.1_H1;rupos.male.1.1;H1;5.0;1.0E7;;
rupos.male.1.1_H2;rupos.male.1.1;H2;5.0;1.0E7;30;0
rupos.male.1.1_H3;rupos.male.1.1;H3;5.0;1.0E7;15;0
rupos.male.1.1_H4;rupos.male.1.1;H4;5.0;1.0E7;7;0
rupos.male.1.1_H5;rupos.male.1.1;H5;5.0;1.0E7;23;0
rupos.male.1.1_H6;rupos.male.1.1;H6;5.0;1.0E7;8;0
rupos.male.1.1_H7;rupos.male.1.1;H7;5.0;1.0E7;11;0
rupos.male.1.1_H8;rupos.male.1.1;H8;5.0;1.0E7;26;0
rupos.male.1.1_H9;rupos.male.1.1;H9;5.0;1.0E7;18;0
rupos.male.1.1_H10;rupos.male.1.1;H10;5.0;1.0E7;9;0
rupos.male.1.1_H11;rupos.male.1.1;H11;5.0;1.0E7;11;0
rupos.male.1.1_H12;rupos.male.1.1;H12;5.0;1.0E7;0;0
rupos.male.1.2_A1;rupos.male.1.2;A1;5.0;1.0;;
rupos.male.1.2_A2;rupos.male.1.2;A2;5.0;1.0;;
rupos.male.1.2_A3;rupos.male.1.2;A3;5.0;1.0;;
rupos.male.1.2_A4;rupos.male.1.2;A4;5.0;1.0;;
rupos.male.1.2_A5;rupos.male.1.2;A5;5.0;1.0;;
rupos.male.1.2_A6;rupos.male.1.2;A6;5.0;1.0;;
rupos.male.1.2_A7;rupos.male.1.2;A7;5.0;1.0;;
rupos.male.1.2_A8;rupos.male.1.2;A8;5.0;1.0;;
rupos.male.1.2_A9;rupos.male.1.2;A9;5.0;1.0;;
rupos.male.1.2_A10;rupos.male.1.2;A10;5.0;1.0;;
rupos.male.1.2_A11;rupos.male.1.2;A11;5.0;1.0;;
rupos.male.1.2_A12;rupos.male.1.2;A12;5.0;1.0;;
rupos.male.1.2_B1;rupos.male.1.2;B1;5.0;10.0;;
rupos.male.1.2_B2;rupos.male.1.2;B2;5.0;10.0;;
rupos.male.1.2_B3;rupos.male.1.2;B3;5.0;10.0;;
rupos.male.1.2_B4;rupos.male.1.2;B4;5.0;10.0;;
rupos.male.1.2_B5;rupos.male.1.2;B5;5.0;10.0;;
rupos.male.1.2_B6;rupos.male.1.2;B6;5.0;10.0;;
rupos.male.1.2_B7;rupos.male.1.2;B7;5.0;10.0;;
rupos.male.1.2_B8;rupos.male.1.2;B8;5.0;10.0;;
rupos.male.1.2_B9;rupos.male.1.2;B9;5.0;10.0;;
rupos.male.1.2_B10;rupos.male.1.2;B10;5.0;10.0;;
rupos.male.1.2_B11;rupos.male.1.2;B11;5.0;10.0;;
rupos.male.1.2_B12;rupos.male.1.2;B12;5.0;10.0;;
rupos.male.1.2_C1;rupos.male.1.2;C1;5.0;100.0;;
rupos.male.1.2_C2;rupos.male.1.2;C2;5.0;100.0;;
rupos.male.1.2_C3;rupos.male.1.2;C3;5.0;100.0;;
rupos.male.1.2_C4;rupos.male.1.2;C4;5.0;100.0;;
rupos.male.1.2_C5;rupos.male.1.2;C5;5.0;100.0;;
rupos.male.1.2_C6;rupos.male.1.2;C6;5.0;100.0;;
rupos.male.1.2_C7;rupos.male.1.2;C7;5.0;100.0;;
rupos.male.1.2_C8;rupos.male.1.2;C8;5.0;100.0;;
rupos.male.1.2_C9;rupos.male.1.2;C9;5.0;100.0;;
rupos.male.1.2_C10;rupos.male.1.2;C10;5.0;100.0;;
rupos.male.1.2_C11;rupos.male.1.2;C11;5.0;100.0;;
rupos.male.1.2_C12;rupos.male.1.2;C12;5.0;100.0;44;0
rupos.male.1.2_D1;rupos.male.1.2;D1;5.0;1000.0;;
rupos.male.1.2_D2;rupos.male.1.2;D2;5.0;1000.0;;
rupos.male.1.2_D3;rupos.male.1.2;D3;5.0;1000.0;;
rupos.male.1.2_D4;rupos.male.1.2;D4;5.0;1000.0;;
rupos.male.1.2_D5;rupos.male.1.2;D5;5.0;1000.0;;
rupos.male.1.2_D6;rupos.male.1.2;D6;5.0;1000.0;;
rupos.male.1.2_D7;rupos.male.1.2;D7;5.0;1000.0;;
rupos.male.1.2_D8;rupos.male.1.2;D8;5.0;1000.0;;
rupos.male.1.2_D9;rupos.male.1.2;D9;5.0;1000.0;;
rupos.male.1.2_D10;rupos.male.1.2;D10;5.0;1000.0;;
rupos.male.1.2_D11;rupos.male.1.2;D11;5.0;1000.0;;
rupos.male.1.2_D12;rupos.male.1.2;D12;5.0;1000.0;12;0
rupos.male.1.2_E1;rupos.male.1.2;E1;5.0;10000.0;55;0
rupos.male.1.2_E2;rupos.male.1.2;E2;5.0;10000.0;;
rupos.male.1.2_E3;rupos.male.1.2;E3;5.0;10000.0;;
rupos.male.1.2_E4;rupos.male.1.2;E4;5.0;10000.0;34;0
rupos.male.1.2_E5;rupos.male.1.2;E5;5.0;10000.0;;
rupos.male.1.2_E6;rupos.male.1.2;E6;5.0;10000.0;51;0
rupos.male.1.2_E7;rupos.male.1.2;E7;5.0;10000.0;;
rupos.male.1.2_E8;rupos.male.1.2;E8;5.0;10000.0;;
rupos.male.1.2_E9;rupos.male.1.2;E9;5.0;10000.0;;
rupos.male.1.2_E10;rupos.male.1.2;E10;5.0;10000.0;;
rupos.male.1.2_E11;rupos.male.1.2;E11;5.0;10000.0;;
rupos.male.1.2_E12;rupos.male.1.2;E12;5.0;10000.0;2;0
rupos.male.1.2_F1;rupos.male.1.2;F1;5.0;100000.0;9;0
rupos.male.1.2_F2;rupos.male.1.2;F2;5.0;100000.0;46;0
rupos.male.1.2_F3;rupos.male.1.2;F3;5.0;100000.0;21;0
rupos.male.1.2_F4;rupos.male.1.2;F4;5.0;100000.0;17;0
rupos.male.1.2_F5;rupos.male.1.2;F5;5.0;100000.0;48;0
rupos.male.1.2_F6;rupos.male.1.2;F6;5.0;100000.0;16;0
rupos.male.1.2_F7;rupos.male.1.2;F7;5.0;100000.0;48;0
rupos.male.1.2_F8;rupos.male.1.2;F8;5.0;100000.0;57;0
rupos.male.1.2_F9;rupos.male.1.2;F9;5.0;100000.0;41;0
rupos.male.1.2_F10;rupos.male.1.2;F10;5.0;100000.0;38;0
rupos.male.1.2_F11;rupos.male.1.2;F11;5.0;100000.0;37;0
rupos.male.1.2_F12;rupos.male.1.2;F12;5.0;100000.0;4;0
rupos.male.1.2_G1;rupos.male.1.2;G1;5.0;1000000.0;11;0
