sample_ID;Name;WELL;Volume;Dilution;BACTERIA;NA
0.hr_A1;0.hr;A1;5.0;1.0;;
0.hr_A2;0.hr;A2;5.0;1.0;;
0.hr_A3;0.hr;A3;5.0;1.0;;
0.hr_A4;0.hr;A4;5.0;1.0;;
0.hr_A5;0.hr;A5;5.0;1.0;;
0.hr_A6;0.hr;A6;5.0;1.0;;
0.hr_A7;0.hr;A7;5.0;1.0;;
0.hr_A8;0.hr;A8;5.0;1.0;;
0.hr_A9;0.hr;A9;5.0;1.0;;
0.hr_A10;0.hr;A10;5.0;1.0;;
0.hr_A11;0.hr;A11;5.0;1.0;;
0.hr_A12;0.hr;A12;5.0;1.0;;
0.hr_B1;0.hr;B1;5.0;5.0;15;0
0.hr_B2;0.hr;B2;5.0;5.0;8;0
0.hr_B3;0.hr;B3;5.0;5.0;15;0
0.hr_B4;0.hr;B4;5.0;5.0;14;0
0.hr_B5;0.hr;B5;5.0;5.0;12;0
0.hr_B6;0.hr;B6;5.0;5.0;14;0
0.hr_B7;0.hr;B7;5.0;5.0;8;0
0.hr_B8;0.hr;B8;5.0;5.0;8;0
0.hr_B9;0.hr;B9;5.0;5.0;13;0
0.hr_B10;0.hr;B10;5.0;5.0;14;0
0.hr_B11;0.hr;B11;5.0;5.0;14;0
0.hr_B12;0.hr;B12;5.0;5.0;22;0
0.hr_C1;0.hr;C1;5.0;25.0;1;0
0.hr_C2;0.hr;C2;5.0;25.0;5;0
0.hr_C3;0.hr;C3;5.0;25.0;5;0
0.hr_C4;0.hr;C4;5.0;25.0;1;0
0.hr_C5;0.hr;C5;5.0;25.0;5;0
0.hr_C6;0.hr;C6;5.0;25.0;4;0
0.hr_C7;0.hr;C7;5.0;25.0;5;0
0.hr_C8;0.hr;C8;5.0;25.0;1;0
0.hr_C9;0.hr;C9;5.0;25.0;5;0
0.hr_C10;0.hr;C10;5.0;25.0;5;0
0.hr_C11;0.hr;C11;5.0;25.0;7;0
0.hr_C12;0.hr;C12;5.0;25.0;3;0
0.hr_D1;0.hr;D1;5.0;125.0;1;0
0.hr_D2;0.hr;D2;5.0;125.0;1;0
0.hr_D3;0.hr;D3;5.0;125.0;1;0
0.hr_D4;0.hr;D4;5.0;125.0;0;0
0.hr_D5;0.hr;D5;5.0;125.0;1;0
0.hr_D6;0.hr;D6;5.0;125.0;1;0
0.hr_D7;0.hr;D7;5.0;125.0;0;0
0.hr_D8;0.hr;D8;5.0;125.0;2;0
0.hr_D9;0.hr;D9;5.0;125.0;0;0
0.hr_D10;0.hr;D10;5.0;125.0;0;0
0.hr_D11;0.hr;D11;5.0;125.0;1;0
0.hr_D12;0.hr;D12;5.0;125.0;0;0
0.hr_E1;0.hr;E1;5.0;1.0;;
0.hr_E2;0.hr;E2;5.0;1.0;;
0.hr_E3;0.hr;E3;5.0;1.0;;
0.hr_E4;0.hr;E4;5.0;1.0;;
0.hr_E5;0.hr;E5;5.0;1.0;;
0.hr_E6;0.hr;E6;5.0;1.0;;
0.hr_E7;0.hr;E7;5.0;1.0;;
0.hr_E8;0.hr;E8;5.0;1.0;;
0.hr_E9;0.hr;E9;5.0;1.0;;
0.hr_E10;0.hr;E10;5.0;1.0;;
0.hr_E11;0.hr;E11;5.0;1.0;;
0.hr_E12;0.hr;E12;5.0;1.0;;
0.hr_F1;0.hr;F1;5.0;5.0;10;0
0.hr_F2;0.hr;F2;5.0;5.0;11;0
0.hr_F3;0.hr;F3;5.0;5.0;13;0
0.hr_F4;0.hr;F4;5.0;5.0;9;0
0.hr_F5;0.hr;F5;5.0;5.0;11;0
0.hr_F6;0.hr;F6;5.0;5.0;18;0
0.hr_F7;0.hr;F7;5.0;5.0;13;0
0.hr_F8;0.hr;F8;5.0;5.0;10;0
0.hr_F9;0.hr;F9;5.0;5.0;10;0
0.hr_F10;0.hr;F10;5.0;5.0;9;0
0.hr_F11;0.hr;F11;5.0;5.0;16;0
0.hr_F12;0.hr;F12;5.0;5.0;14;0
0.hr_G1;0.hr;G1;5.0;25.0;3;0
0.hr_G2;0.hr;G2;5.0;25.0;3;0
0.hr_G3;0.hr;G3;5.0;25.0;1;0
0.hr_G4;0.hr;G4;5.0;25.0;1;0
0.hr_G5;0.hr;G5;5.0;25.0;2;0
0.hr_G6;0.hr;G6;5.0;25.0;5;0
0.hr_G7;0.hr;G7;5.0;25.0;4;0
0.hr_G8;0.hr;G8;5.0;25.0;4;0
0.hr_G9;0.hr;G9;5.0;25.0;5;0
0.hr_G10;0.hr;G10;5.0;25.0;3;0
0.hr_G11;0.hr;G11;5.0;25.0;6;0
0.hr_G12;0.hr;G12;5.0;25.0;7;0
0.hr_H1;0.hr;H1;5.0;125.0;0;0
0.hr_H2;0.hr;H2;5.0;125.0;1;0
0.hr_H3;0.hr;H3;5.0;125.0;0;0
0.hr_H4;0.hr;H4;5.0;125.0;1;0
0.hr_H5;0.hr;H5;5.0;125.0;1;0
0.hr_H6;0.hr;H6;5.0;125.0;0;0
0.hr_H7;0.hr;H7;5.0;125.0;2;0
0.hr_H8;0.hr;H8;5.0;125.0;0;0
0.hr_H9;0.hr;H9;5.0;125.0;2;0
0.hr_H10;0.hr;H10;5.0;125.0;0;0
0.hr_H11;0.hr;H11;5.0;125.0;0;0
0.hr_H12;0.hr;H12;5.0;125.0;0;0
