"","Rep","Treatment","Sex","time","Dissected_Y.N","ID","Group"
"N_F_Pr_8_3","3","Pr","F",8,"N","RG.Z.sample_1","N_F_Pr_8_3"
"Y_M_WD_8_3","3","WD","M",8,"Y","RG.Z.sample_10","Y_M_WD_8_3"
"N_F_UC_8_3","3","UC","F",8,"N","RG.Z.sample_11","N_F_UC_8_3"
"Y_F_UC_8_3","3","UC","F",8,"Y","RG.Z.sample_12","Y_F_UC_8_3"
"Y_F_Pr_24_1","1","Pr","F",24,"Y","RG.Z.sample_121","Y_F_Pr_24_1"
"N_M_Pr_72_1","1","Pr","M",72,"N","RG.Z.sample_124","N_M_Pr_72_1"
"Y_F_UC_24_1","1","UC","F",24,"Y","RG.Z.sample_125","Y_F_UC_24_1"
"Y_M_Pr_24_1","1","Pr","M",24,"Y","RG.Z.sample_126","Y_M_Pr_24_1"
"N_F_Pr_8_1","1","Pr","F",8,"N","RG.Z.sample_127","N_F_Pr_8_1"
"N_M_UC_72_1","1","UC","M",72,"N","RG.Z.sample_128","N_M_UC_72_1"
"Y_F_UC_72_3","3","UC","F",72,"Y","RG.Z.sample_13","Y_F_UC_72_3"
"N_F_UC_72_1","1","UC","F",72,"N","RG.Z.sample_131","N_F_UC_72_1"
"Y_M_Pr_8_1","1","Pr","M",8,"Y","RG.Z.sample_132","Y_M_Pr_8_1"
"N_M_UC_24_1","1","UC","M",24,"N","RG.Z.sample_138","N_M_UC_24_1"
"Y_M_UC_72_1","1","UC","M",72,"Y","RG.Z.sample_139","Y_M_UC_72_1"
"N_F_UC_72_3","3","UC","F",72,"N","RG.Z.sample_14","N_F_UC_72_3"
"N_M_Pr_24_1","1","Pr","M",24,"N","RG.Z.sample_143","N_M_Pr_24_1"
"N_F_UC_8_1","1","UC","F",8,"N","RG.Z.sample_144","N_F_UC_8_1"
"Y_M_UC_24_1","1","UC","M",24,"Y","RG.Z.sample_147","Y_M_UC_24_1"
"N_F_Pr_72_3","3","Pr","F",72,"N","RG.Z.sample_15","N_F_Pr_72_3"
"Y_M_UC_8_1","1","UC","M",8,"Y","RG.Z.sample_153","Y_M_UC_8_1"
