Mother,Father,Food,Sex,Challenge,Vial_num,Vial_num_unique,Indiv_num,Mating_status,Dose,Day_of_injection,Time_of_injection,Day_of_death,Time_of_death,Time_to_death,Censor,Group
S106,TotM,neg_RU,Female,PBS,1,Vial_1,1,Mated,PBS,20/04/2021,10:07,21/04/2021,09:20,0.967361111,1,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,2,Mated,PBS,20/04/2021,10:07,21/04/2021,14:45,1.193055556,1,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,3,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,4,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,5,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,6,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,7,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,8,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,9,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,1,Vial_1,10,Mated,PBS,20/04/2021,10:07,23/04/2021,17:00,3.286805556,0,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,2,Vial_2,1,Mated,PBS,20/04/2021,10:12,21/04/2021,09:20,0.963888889,1,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,2,Vial_2,2,Mated,PBS,20/04/2021,10:12,21/04/2021,09:20,0.963888889,1,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,2,Vial_2,3,Mated,PBS,20/04/2021,10:12,21/04/2021,09:20,0.963888889,1,Female_neg_RU_PBS
S106,TotM,neg_RU,Female,PBS,2,Vial_2,4,Mated,PBS,20/04/2021,10:12,21/04/2021,09:20,0.963888889,1,Female_neg_RU_PBS
